date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:12:36	376104/376104	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2011%20Dec%202025%2022:27:28%20GMT	https://grupoalfa.net/	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/index.html	(from )
12:12:37	87/87	U-----	200	untouched ('OK')	text/plain	etag:W/%228c7d67cb6ddbc2957450266ac7044375%22	https://grupoalfa.net/robots.txt		(from )
12:12:37	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/t	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/t	(from https://grupoalfa.net/)
12:12:38	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/\%22mailto:luciomerlini@grupoalfa.net/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_mailto_luciomerlini@grupoalfa.net/_	(from https://grupoalfa.net/)
12:12:39	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/seguros/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/seguros/_	(from https://grupoalfa.net/)
12:12:40	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/\%22mailto:joseantonio@grupoalfa.net/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_mailto_joseantonio@grupoalfa.net/_	(from https://grupoalfa.net/)
12:12:41	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/lujo-rent/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/lujo-rent/_	(from https://grupoalfa.net/)
12:12:42	22051/22051	U-----	200	untouched ('OK')	text/css	etag:W/%225623-pP5KyUURJWSp+CQ9pKCRiNbtSyg%22	https://cdn.zyrosite.com/u1/google-fonts/font-faces?family=Krona+One:wght@400&family=Jost:wght@300;400;700&family=Inter:wght@400;500&family=Open+Sans:wght@400;500&display=swap	/home/jcminarro/websites/Grupo%20Alfa/cdn.zyrosite.com/u1/google-fonts/font-faces2e73.css	(from https://grupoalfa.net/)
12:12:42	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/rey-subastos/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/rey-subastos/_	(from https://grupoalfa.net/)
12:12:43	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/alfa-clean/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/alfa-clean/_	(from https://grupoalfa.net/)
12:12:44	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/flip-art/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/flip-art/_	(from https://grupoalfa.net/)
12:12:45	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/alfa-lab/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/alfa-lab/_	(from https://grupoalfa.net/)
12:12:46	7036/7036	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265e73089-1b7c%22	https://grupoalfa.net/%22/contacto/%22	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/_/contacto/_	(from https://grupoalfa.net/)
12:12:49	228752/228752	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2011%20Dec%202025%2022:27:28%20GMT	https://grupoalfa.net/inversores	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/inversores.html	(from https://grupoalfa.net/)
12:12:53	295604/295604	U-----	200	untouched ('OK')	text/html	date:Thu,%2011%20Dec%202025%2022:27:28%20GMT	https://grupoalfa.net/proyectos	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/proyectos.html	(from https://grupoalfa.net/)
12:12:53	147707/147707	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2011%20Dec%202025%2022:27:28%20GMT	https://grupoalfa.net/contacto	/home/jcminarro/websites/Grupo%20Alfa/grupoalfa.net/contacto.html	(from https://grupoalfa.net/)
